season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2016/17, 105717, 50, 47, 34, 972, 0, 1, 3, 24, 0, 0, 0, 1, 0, 0, 7, 253, 219.8, 126.7, 18.0, 36.4, 
2017/18, 105717, 45, 42, 68, 1867, 0, 3, 6, 29, 0, 0, 0, 5, 0, 0, 2, 352, 385.0, 295.1, 128.0, 80.7, 
2018/19, 105717, 45, 42, 49, 1757, 0, 2, 4, 29, 0, 0, 0, 2, 0, 0, 0, 311, 434.4, 212.0, 55.0, 70.3, 
