chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index,
None, None, 69140, -1, 1, -3, 3, 0, 2, 0.5, 1.0, 0, Shkodran, 0.0, 1, False, , None, 52, 69140.jpg, 0.0, Mustafi, 0.4, False, None, a, 1, 3, 0, 6005, 117, 27729, 367, 0.0, 0.0, Mustafi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 98745, 0, 0, -1, 1, 0, 2, 0.5, 1.0, 0, Héctor, 0.0, 2, False, , 2019-06-25T11:30:06.897107Z, 54, 98745.jpg, 0.0, Bellerín, 0.3, False, None, a, 1, 3, 0, 19732, 1354, 10545, 1250, 0.0, 0.0, Bellerín, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 111457, 0, 0, -1, 1, 0, 2, 3.3, 3.8, 1, Sead, 2.8, 3, False, , 2019-09-19T23:30:10.394662Z, 54, 111457.jpg, 2.3, Kolasinac, 0.9, False, None, a, 1, 3, 16, 38206, 1782, 77795, 1741, 0.5, 3.0, Kolasinac, 559, 0, 1, 1, 8, 0, 0, 0, 2, 0, 0, 1, 109, 106.0, 108.7, 33.0, 24.7, 
100, 100, 154043, -1, 1, -1, 1, 1, 2, -0.3, 0.2, 0, Ainsley, -0.8, 4, False, , 2019-09-22T18:00:10.824841Z, 49, 154043.jpg, 2.8, Maitland-Niles, 4.5, False, None, a, 1, 3, 17, 540860, 511, 430161, 19301, -0.2, 3.4, Maitland-Niles, 490, 0, 2, 1, 10, 0, 0, 0, 0, 1, 0, 3, 92, 136.4, 108.2, 31.0, 27.1, 
None, None, 39476, 0, 0, 0, 0, 0, 2, 3.0, 3.5, 1, Sokratis, 2.5, 5, False, , None, 50, 39476.jpg, 2.4, Papastathopoulos, 1.8, False, None, a, 1, 3, 22, 79730, 1785, 87533, 2488, 0.5, 4.4, Sokratis, 810, 0, 0, 2, 12, 0, 0, 0, 2, 0, 0, 2, 134, 159.4, 24.8, 12.0, 19.6, 
0, 0, 38411, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Nacho, 0.0, 6, False, Joined Real Sociedad on a permanent deal on 31/8, 2019-08-31T11:30:14.661839Z, 50, 38411.jpg, 3.3, Monreal, 0.3, False, None, u, 1, 3, 10, 27923, 11, 84903, 361, 0.0, 2.0, Monreal, 270, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 54, 47.2, 40.8, 12.0, 10.0, 
0, 0, 51507, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Laurent, 0.0, 7, False, Joined Bordeaux on a permanent deal on 6/8., 2019-08-08T11:00:09.045030Z, 50, 51507.jpg, 0.0, Koscielny, 0.1, False, None, u, 1, 3, 0, 343, 21, 11985, 52, 0.0, 0.0, Koscielny, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 233963, 0, 0, -1, 1, 0, 2, 0.5, 1.0, 0, Konstantinos, 0.0, 8, False, , 2019-08-09T09:30:11.868345Z, 44, 233963.jpg, 0.0, Mavropanos, 0.0, False, None, a, 1, 3, 0, 389, 30, 3512, 34, 0.0, 0.0, Mavropanos, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 80254, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Carl, 0.0, 9, False, Joined Nottingham Forest on a permanent deal on 7/8., 2019-08-07T17:00:10.875251Z, 45, 80254.jpg, 0.0, Jenkinson, 0.0, False, None, u, 1, 3, 0, 203, 14, 2235, 33, 0.0, 0.0, Jenkinson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 156074, 0, 0, 0, 0, 0, 2, 0.5, 1.0, 0, Rob, 0.0, 10, False, , 2019-06-25T11:30:06.913215Z, 45, 156074.jpg, 0.0, Holding, 0.2, False, None, a, 1, 3, 0, 8175, 237, 6164, 407, 0.0, 0.0, Holding, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
