season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 106760, 45, 51, 123, 2990, 0, 2, 14, 38, 0, 0, 0, 4, 0, 0, 10, 173, 0.0, 0.0, 0.0, 0.0, 
2014/15, 106760, 60, 57, 34, 1121, 0, 0, 2, 14, 0, 0, 0, 1, 1, 0, 4, 217, 0.0, 0.0, 0.0, 0.0, 
2015/16, 106760, 55, 53, 27, 450, 0, 1, 3, 3, 0, 0, 0, 1, 0, 0, 4, 135, 0.0, 0.0, 0.0, 0.0, 
2016/17, 106760, 55, 52, 45, 688, 0, 3, 4, 6, 0, 0, 0, 1, 0, 0, 4, 202, 139.2, 160.5, 64.0, 36.5, 
2017/18, 106760, 50, 48, 48, 787, 0, 0, 7, 2, 0, 0, 0, 2, 0, 0, 4, 216, 142.6, 127.0, 144.0, 41.5, 
2018/19, 106760, 50, 51, 91, 2591, 1, 5, 6, 39, 0, 0, 0, 11, 0, 0, 11, 489, 586.2, 505.6, 287.0, 138.1, 
