season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 153127, 45, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2014/15, 153127, 45, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2017/18, 153127, 45, 43, 41, 1365, 1, 0, 3, 25, 0, 0, 0, 7, 0, 0, 0, 171, 273.6, 164.7, 144.0, 58.2, 
2018/19, 153127, 45, 43, 69, 1857, 1, 4, 7, 25, 0, 0, 0, 3, 1, 0, 5, 306, 412.0, 298.8, 232.0, 94.4, 
