season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2014/15, 93264, 50, 46, 93, 2293, 2, 3, 6, 37, 0, 0, 0, 4, 0, 0, 12, 452, 0.0, 0.0, 0.0, 0.0, 
2015/16, 93264, 50, 54, 130, 3263, 3, 2, 12, 35, 0, 0, 0, 10, 0, 0, 3, 676, 0.0, 0.0, 0.0, 0.0, 
2016/17, 93264, 55, 50, 93, 3043, 2, 0, 16, 24, 0, 0, 0, 6, 0, 0, 4, 505, 663.6, 223.8, 315.0, 120.7, 
2017/18, 93264, 50, 47, 85, 2822, 0, 2, 15, 30, 0, 0, 0, 4, 0, 0, 2, 477, 604.2, 293.4, 289.0, 118.6, 
2018/19, 93264, 50, 47, 56, 1504, 3, 0, 5, 18, 0, 0, 0, 4, 0, 0, 3, 269, 363.4, 150.1, 121.0, 63.6, 
