season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2017/18, 103914, 45, 42, 23, 949, 0, 0, 2, 12, 0, 0, 0, 3, 0, 0, 0, 132, 184.2, 86.8, 4.0, 27.5, 
2018/19, 103914, 45, 44, 82, 3240, 0, 1, 7, 64, 0, 0, 0, 2, 0, 0, 2, 505, 649.4, 268.5, 30.0, 94.9, 
