season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 20480, 50, 49, 123, 3240, 0, 0, 10, 51, 0, 0, 0, 0, 0, 101, 8, 154, 0.0, 0.0, 0.0, 0.0, 
2014/15, 20480, 45, 44, 99, 2700, 0, 1, 8, 47, 0, 0, 0, 1, 0, 83, 5, 436, 0.0, 0.0, 0.0, 0.0, 
2015/16, 20480, 45, 42, 23, 720, 0, 0, 1, 17, 0, 0, 0, 0, 0, 34, 3, 150, 0.0, 0.0, 0.0, 0.0, 
2017/18, 20480, 40, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
