season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 60252, 55, 50, 53, 1234, 1, 1, 8, 10, 0, 0, 0, 2, 0, 0, 2, 51, 0.0, 0.0, 0.0, 0.0, 
2014/15, 60252, 65, 62, 44, 749, 2, 3, 2, 15, 0, 0, 0, 2, 0, 0, 2, 140, 0.0, 0.0, 0.0, 0.0, 
2015/16, 60252, 60, 58, 64, 1154, 4, 2, 4, 19, 0, 0, 0, 0, 0, 0, 6, 266, 0.0, 0.0, 0.0, 0.0, 
2016/17, 60252, 65, 57, 116, 2520, 3, 7, 7, 38, 0, 0, 0, 4, 0, 0, 16, 492, 552.4, 852.4, 511.0, 191.3, 
2017/18, 60252, 60, 56, 121, 3120, 2, 9, 9, 48, 0, 0, 0, 3, 0, 0, 7, 552, 626.0, 1012.1, 587.0, 222.8, 
2018/19, 60252, 60, 56, 135, 3007, 6, 5, 11, 46, 0, 0, 0, 1, 0, 0, 8, 520, 743.0, 928.5, 622.0, 229.6, 
