season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 56979, 60, 62, 124, 3128, 4, 7, 11, 42, 0, 0, 0, 4, 1, 0, 9, 197, 0.0, 0.0, 0.0, 0.0, 
2014/15, 56979, 60, 66, 162, 3256, 6, 10, 13, 45, 0, 0, 0, 6, 0, 0, 22, 725, 0.0, 0.0, 0.0, 0.0, 
2015/16, 56979, 70, 65, 57, 1290, 2, 3, 5, 16, 0, 0, 0, 1, 0, 0, 3, 276, 0.0, 0.0, 0.0, 0.0, 
2016/17, 56979, 65, 62, 73, 2116, 1, 4, 7, 28, 0, 0, 0, 8, 0, 0, 9, 467, 507.4, 554.3, 93.0, 115.5, 
2017/18, 56979, 55, 53, 75, 2169, 1, 1, 14, 21, 0, 0, 0, 1, 0, 0, 3, 382, 417.0, 448.8, 110.0, 97.8, 
2018/19, 56979, 55, 53, 76, 1976, 1, 3, 12, 14, 0, 0, 0, 1, 1, 0, 2, 397, 358.8, 311.7, 182.0, 85.4, 
