season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 54102, 65, 60, 76, 1719, 3, 4, 7, 23, 0, 0, 0, 6, 0, 0, 6, 92, 0.0, 0.0, 0.0, 0.0, 
2014/15, 54102, 65, 63, 36, 729, 2, 1, 1, 12, 0, 0, 0, 4, 0, 0, 4, 163, 0.0, 0.0, 0.0, 0.0, 
2015/16, 54102, 60, 57, 6, 142, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 23, 0.0, 0.0, 0.0, 0.0, 
2016/17, 54102, 60, 58, 61, 1950, 0, 3, 5, 45, 0, 0, 0, 4, 0, 0, 2, 312, 308.4, 544.4, 321.0, 116.8, 
2017/18, 54102, 55, 50, 46, 1185, 1, 3, 4, 16, 0, 0, 0, 6, 0, 0, 2, 236, 258.4, 281.8, 169.0, 71.0, 
2018/19, 54102, 50, 48, 17, 388, 0, 2, 1, 10, 0, 0, 0, 2, 0, 0, 0, 90, 72.0, 74.0, 17.0, 16.3, 
