season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2017/18, 201666, 45, 45, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0.2, 1.0, 6.0, 0.6, 
2018/19, 201666, 55, 55, 43, 1001, 1, 3, 1, 16, 0, 0, 0, 0, 0, 0, 1, 139, 172.8, 242.0, 534.0, 94.8, 
