season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2015/16, 78056, 45, 42, 45, 1612, 1, 0, 5, 21, 0, 0, 0, 7, 0, 0, 0, 293, 0.0, 0.0, 0.0, 0.0, 
2016/17, 78056, 45, 44, 80, 3071, 1, 0, 13, 42, 0, 0, 0, 11, 0, 0, 4, 566, 585.6, 280.5, 240.0, 110.7, 
2017/18, 78056, 45, 42, 68, 2897, 1, 0, 8, 47, 0, 0, 0, 11, 0, 0, 0, 474, 616.2, 338.7, 231.0, 118.7, 
2018/19, 78056, 45, 42, 55, 2131, 1, 0, 6, 37, 0, 0, 0, 11, 0, 0, 3, 282, 455.2, 158.4, 124.0, 74.0, 
