season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 59125, 50, 49, 58, 847, 5, 2, 3, 15, 0, 0, 0, 1, 0, 0, 8, 60, 0.0, 0.0, 0.0, 0.0, 
2014/15, 59125, 60, 56, 85, 2768, 5, 1, 11, 40, 0, 0, 0, 8, 0, 0, 4, 234, 0.0, 0.0, 0.0, 0.0, 
2015/16, 59125, 60, 54, 70, 1321, 5, 3, 4, 18, 0, 0, 0, 1, 0, 0, 7, 209, 0.0, 0.0, 0.0, 0.0, 
2016/17, 59125, 60, 55, 18, 412, 2, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 59, 87.6, 36.2, 132.0, 25.0, 
2017/18, 59125, 55, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2018/19, 59125, 50, 49, 9, 61, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 23, 23.2, 41.9, 55.0, 12.0, 
