season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2016/17, 94245, 90, 84, 48, 254, 5, 1, 0, 3, 0, 0, 0, 0, 0, 0, 4, 169, 193.2, 40.9, 277.0, 50.7, 
2017/18, 94245, 85, 81, 25, 351, 2, 1, 1, 7, 1, 0, 0, 0, 0, 0, 3, 77, 99.4, 39.0, 123.0, 25.7, 
2018/19, 94245, 65, 62, 48, 748, 5, 1, 3, 11, 0, 0, 0, 0, 0, 0, 5, 159, 198.6, 41.4, 406.0, 64.2, 
