season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2014/15, 17745, 45, 45, 83, 2160, 0, 0, 6, 37, 0, 0, 0, 0, 0, 80, 6, 366, 0.0, 0.0, 0.0, 0.0, 
2015/16, 17745, 45, 50, 147, 3420, 0, 0, 15, 36, 0, 0, 0, 2, 0, 100, 5, 724, 0.0, 0.0, 0.0, 0.0, 
2016/17, 17745, 50, 49, 109, 2666, 0, 0, 8, 47, 0, 0, 0, 1, 0, 113, 10, 585, 757.4, 0.0, 0.0, 75.8, 
2017/18, 17745, 50, 51, 123, 2965, 0, 0, 8, 47, 1, 2, 0, 3, 0, 93, 17, 592, 687.2, 11.1, 0.0, 69.9, 
2018/19, 17745, 50, 50, 120, 3420, 0, 0, 10, 48, 0, 0, 0, 3, 0, 90, 6, 618, 756.8, 10.0, 4.0, 76.9, 
