season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2016/17, 107265, 40, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2018/19, 107265, 45, 43, 47, 1080, 0, 0, 3, 18, 0, 1, 0, 0, 0, 33, 4, 206, 239.2, 0.0, 0.0, 23.8, 
