season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 54861, 90, 87, 103, 2126, 10, 2, 6, 38, 0, 0, 2, 4, 0, 0, 16, 83, 0.0, 0.0, 0.0, 0.0, 
2014/15, 54861, 80, 80, 127, 2378, 13, 2, 7, 44, 0, 0, 0, 1, 1, 0, 18, 390, 0.0, 0.0, 0.0, 0.0, 
2015/16, 54861, 85, 80, 104, 1529, 9, 4, 7, 20, 0, 0, 0, 2, 0, 0, 16, 329, 0.0, 0.0, 0.0, 0.0, 
2016/17, 54861, 75, 72, 136, 3131, 15, 2, 7, 58, 0, 0, 2, 10, 0, 0, 13, 382, 640.2, 484.4, 1762.0, 286.1, 
2017/18, 54861, 80, 75, 84, 2234, 3, 7, 6, 36, 0, 0, 1, 6, 0, 0, 5, 174, 325.2, 406.7, 845.0, 157.5, 
2018/19, 54861, 65, 63, 33, 807, 1, 1, 3, 13, 0, 0, 0, 1, 0, 0, 3, 65, 106.0, 118.4, 348.0, 56.1, 
